aa|0|0|0|0|0|0|0|0|0|0|0|0|NaN
второй|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
третий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
mmmmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
hhhhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
gggggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
тест1|8850|5569|23|62|46|23|46|23|0|6594|1|2,75818572195384
a2a|0|0|0|0|0|0|0|0|0|0|0|0|NaN
в2торой|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
т2ретий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
m2mmmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
h2hhhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
g2ggggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
т2ест1|8850|5569|23|62|46|23|46|23|0|6594|1|2,75818572195384
a3a|0|0|0|0|0|0|0|0|0|0|0|0|NaN
в3торой|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
т3ретий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
m3mmmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
hh3hhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
g3ggggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
т3ест1|8850|5569|23|62|46|23|46|23|0|6594|1|2,75818572195384
a4a|0|0|0|0|0|0|0|0|0|0|0|0|NaN
в4торой|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
4третий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
m4mmmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
hh4hhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
g4ggggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
те4ст1|8850|5569|23|62|46|23|46|23|0|6594|1|2,75818572195384
5aa|0|0|0|0|0|0|0|0|0|0|0|0|NaN
вт5орой|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
т5ретий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
m5mmmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
h5hhhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
g5ggggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
те5ст1|8850|5569|23|62|46|23|46|23|0|6594|1|2,75818572195384
a6a|0|0|0|0|0|0|0|0|0|0|0|0|NaN
в6торой|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
т6ретий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
mm6mmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
hh6hhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
gg6gggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
те6ст1|8850|5569|23|62|46|23|46|23|0|6594|1|2,75818572195384
a7a|0|0|0|0|0|0|0|0|0|0|0|0|NaN
в7торой|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
т7ретий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
m7mmmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
h7hhhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
g7ggggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
т77ест1|8850|5569|23|62|46|23|46|23|0|6594|1|2,
a8a|0|0|0|0|0|0|0|0|0|0|0|0|NaN
в8торой|531|264|2|49|2|100|0|0|0|0|222|0|1,37037037037037
т8ретий|24438|16797|69|68|69|0|52|0|56|0|20465|14|3,04393895207544
m8mmmmmm|900|852|3|94|99|0|0|0|0|587|1|1,91666666666667
hh8hhhhhhh|19863|12817|53|64|0|59|0|62|0|18224|10|3,0754576415496
gggggggg|2325|1849|7|79|49|5|35|6|7|2667|2|3,00529100529101
т8ест1|8850|5569|23|62|46|23|46|23|0|6594|1|2,75818572195384
jjjj|1659|1049|5|63|70|1|14|2|14|490|0|1,07583774250441
